figure_path,section,dataset,question,visual_family,figure_type,supports_memory,analytical_intent,candidate_families,rejected_families,action,derived_metric_needed,scientific_constraints,combined_type,story_protagonist,title_message,annotation_plan,warmth_style_plan,notebook_size_target,pdf_export_target,shown_in_notebook,saved_to_disk,non_empty,not_table_as_image,labels_readable,no_clipping,no_overlap,legend_ok,margins_ok,decision,fix_required,fix_applied,acceptance_risks,residual_risk,figure_class,editorial_warmth_pass
results/figures/05_feature_selection/protocol/fs_k_reduction_plan.png,05_05,GLOBAL,¿Qué reducción dimensional implican los valores de k?,scatter/bubble,memory_candidate,True,comparación de reducción dimensional,bubble plot; tabla compacta; barras por dataset,tabla sola descartada porque exige comparar porcentajes mentalmente; barras múltiples más largas,keep,métrica ya calculada en tablas de Fase 5,train-only; no se recalculan selectores con validation/test; muestras y permutaciones documentadas,none,¿Qué reducción dimensional implican los valores de k?,¿Qué reducción dimensional implican los valores de k?,título analítico y ejes explícitos; sin anotaciones si añadirían ruido,"superficie warm light, acento restringido, contexto atenuado, grid suave y spines superiores/derechos retirados",ancho 760-900 px en notebook,PNG 180 dpi con bbox tight,True,True,True,True,True,True,True,True,True,mantener,False,False,"revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina","revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina",memory_candidate,"Surface: warm light; Main accent: método/valor focal; Context: tonos neutros; Grid/spines: suavizados; Text hierarchy: título + ejes; Scientific honesty: métricas, k, semillas, permutaciones y muestra se documentan en tablas trazables."
results/figures/05_feature_selection/top_features/breast_cancer_wisconsin_top_selected_features.png,05_15,breast_cancer_wisconsin,¿Qué variables aparecen con más frecuencia entre selectores?,ranking horizontal,memory_candidate,True,ranking de frecuencia de selección,barras horizontales; lollipop; tabla ordenada,tabla sola descartada por baja lectura comparativa; heatmap completo movido a apéndice,keep,métrica ya calculada en tablas de Fase 5,train-only; no se recalculan selectores con validation/test; muestras y permutaciones documentadas,none,¿Qué variables aparecen con más frecuencia entre selectores?,¿Qué variables aparecen con más frecuencia entre selectores?,título analítico y ejes explícitos; sin anotaciones si añadirían ruido,"superficie warm light, acento restringido, contexto atenuado, grid suave y spines superiores/derechos retirados",ancho 760-900 px en notebook,PNG 180 dpi con bbox tight,True,True,True,True,True,True,True,True,True,mantener,False,False,"revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina","revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina",memory_candidate,"Surface: warm light; Main accent: método/valor focal; Context: tonos neutros; Grid/spines: suavizados; Text hierarchy: título + ejes; Scientific honesty: métricas, k, semillas, permutaciones y muestra se documentan en tablas trazables."
results/figures/05_feature_selection/method_feature_heatmaps/breast_cancer_wisconsin_method_feature_heatmap.png,05_15,breast_cancer_wisconsin,¿Qué coincidencias hay entre métodos y variables seleccionadas?,heatmap binario,appendix,False,composición método-feature,heatmap binario; tabla método-feature; red bipartita,red bipartita descartada por exceso visual; tabla como imagen descartada,keep,métrica ya calculada en tablas de Fase 5,train-only; no se recalculan selectores con validation/test; muestras y permutaciones documentadas,none,¿Qué coincidencias hay entre métodos y variables seleccionadas?,¿Qué coincidencias hay entre métodos y variables seleccionadas?,título analítico y ejes explícitos; sin anotaciones si añadirían ruido,"superficie warm light, acento restringido, contexto atenuado, grid suave y spines superiores/derechos retirados",ancho 760-900 px en notebook,PNG 180 dpi con bbox tight,True,True,True,True,True,True,True,True,True,mantener,False,False,"revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina","revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina",appendix,"Surface: warm light; Main accent: método/valor focal; Context: tonos neutros; Grid/spines: suavizados; Text hierarchy: título + ejes; Scientific honesty: métricas, k, semillas, permutaciones y muestra se documentan en tablas trazables."
results/figures/05_feature_selection/method_overlap/breast_cancer_wisconsin_method_overlap_jaccard.png,05_08,breast_cancer_wisconsin,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,heatmap Jaccard,memory_candidate,True,solape entre métodos,heatmap Jaccard; tabla triangular; red de similitud,red descartada por baja precisión; tabla triangular exige demasiada búsqueda visual,keep,métrica ya calculada en tablas de Fase 5,train-only; no se recalculan selectores con validation/test; muestras y permutaciones documentadas,none,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,título analítico y ejes explícitos; sin anotaciones si añadirían ruido,"superficie warm light, acento restringido, contexto atenuado, grid suave y spines superiores/derechos retirados",ancho 760-900 px en notebook,PNG 180 dpi con bbox tight,True,True,True,True,True,True,True,True,True,mantener,False,False,"revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina","revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina",memory_candidate,"Surface: warm light; Main accent: método/valor focal; Context: tonos neutros; Grid/spines: suavizados; Text hierarchy: título + ejes; Scientific honesty: métricas, k, semillas, permutaciones y muestra se documentan en tablas trazables."
results/figures/05_feature_selection/redundancy_by_dataset/breast_cancer_wisconsin_selected_vs_full_redundancy.png,05_12,breast_cancer_wisconsin,¿Cada método reduce o concentra redundancia frente al espacio completo?,dot plot paired,memory_candidate,True,comparación paired selected vs full,dot plot paired; barras de delta; tabla,barras de delta pierden el nivel absoluto; tabla exige cálculo mental,keep,métrica ya calculada en tablas de Fase 5,train-only; no se recalculan selectores con validation/test; muestras y permutaciones documentadas,none,¿Cada método reduce o concentra redundancia frente al espacio completo?,¿Cada método reduce o concentra redundancia frente al espacio completo?,título analítico y ejes explícitos; sin anotaciones si añadirían ruido,"superficie warm light, acento restringido, contexto atenuado, grid suave y spines superiores/derechos retirados",ancho 760-900 px en notebook,PNG 180 dpi con bbox tight,True,True,True,True,True,True,True,True,True,mantener,False,False,"revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina","revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina",memory_candidate,"Surface: warm light; Main accent: método/valor focal; Context: tonos neutros; Grid/spines: suavizados; Text hierarchy: título + ejes; Scientific honesty: métricas, k, semillas, permutaciones y muestra se documentan en tablas trazables."
results/figures/05_feature_selection/permutation_detail/breast_cancer_wisconsin_permutation_detail.png,05_11,breast_cancer_wisconsin,¿Qué variables quedan más separadas del nulo por permutación?,barras horizontales de delta,appendix,False,distancia frente a nulo,barras de delta; scatter real vs nulo; tabla de p-valores,scatter requiere más lectura; tabla no muestra umbral cero de forma inmediata,keep,métrica ya calculada en tablas de Fase 5,train-only; no se recalculan selectores con validation/test; muestras y permutaciones documentadas,none,¿Qué variables quedan más separadas del nulo por permutación?,¿Qué variables quedan más separadas del nulo por permutación?,título analítico y ejes explícitos; sin anotaciones si añadirían ruido,"superficie warm light, acento restringido, contexto atenuado, grid suave y spines superiores/derechos retirados",ancho 760-900 px en notebook,PNG 180 dpi con bbox tight,True,True,True,True,True,True,True,True,True,mantener,False,False,"revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina","revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina",appendix,"Surface: warm light; Main accent: método/valor focal; Context: tonos neutros; Grid/spines: suavizados; Text hierarchy: título + ejes; Scientific honesty: métricas, k, semillas, permutaciones y muestra se documentan en tablas trazables."
results/figures/05_feature_selection/dataset_stories/breast_cancer_wisconsin_selection_story.png,05_15,breast_cancer_wisconsin,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?",figura compuesta tres paneles,memory_candidate,True,síntesis narrativa por dataset,tres paneles; figuras separadas; scorecard,scorecard ocultaría nombres de variables; figuras separadas dispersan una misma historia,keep,métrica ya calculada en tablas de Fase 5,train-only; no se recalculan selectores con validation/test; muestras y permutaciones documentadas,multipanel,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?","¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?",título analítico y ejes explícitos; sin anotaciones si añadirían ruido,"superficie warm light, acento restringido, contexto atenuado, grid suave y spines superiores/derechos retirados",ancho 760-900 px en notebook,PNG 180 dpi con bbox tight,True,True,True,True,True,True,True,True,True,mantener,False,False,"revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina","revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina",memory_candidate,"Surface: warm light; Main accent: método/valor focal; Context: tonos neutros; Grid/spines: suavizados; Text hierarchy: título + ejes; Scientific honesty: métricas, k, semillas, permutaciones y muestra se documentan en tablas trazables."
results/figures/05_feature_selection/top_features/customer_churn_top_selected_features.png,05_15,customer_churn,¿Qué variables aparecen con más frecuencia entre selectores?,ranking horizontal,memory_candidate,True,ranking de frecuencia de selección,barras horizontales; lollipop; tabla ordenada,tabla sola descartada por baja lectura comparativa; heatmap completo movido a apéndice,keep,métrica ya calculada en tablas de Fase 5,train-only; no se recalculan selectores con validation/test; muestras y permutaciones documentadas,none,¿Qué variables aparecen con más frecuencia entre selectores?,¿Qué variables aparecen con más frecuencia entre selectores?,título analítico y ejes explícitos; sin anotaciones si añadirían ruido,"superficie warm light, acento restringido, contexto atenuado, grid suave y spines superiores/derechos retirados",ancho 760-900 px en notebook,PNG 180 dpi con bbox tight,True,True,True,True,True,True,True,True,True,mantener,False,False,"revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina","revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina",memory_candidate,"Surface: warm light; Main accent: método/valor focal; Context: tonos neutros; Grid/spines: suavizados; Text hierarchy: título + ejes; Scientific honesty: métricas, k, semillas, permutaciones y muestra se documentan en tablas trazables."
results/figures/05_feature_selection/method_feature_heatmaps/customer_churn_method_feature_heatmap.png,05_15,customer_churn,¿Qué coincidencias hay entre métodos y variables seleccionadas?,heatmap binario,appendix,False,composición método-feature,heatmap binario; tabla método-feature; red bipartita,red bipartita descartada por exceso visual; tabla como imagen descartada,keep,métrica ya calculada en tablas de Fase 5,train-only; no se recalculan selectores con validation/test; muestras y permutaciones documentadas,none,¿Qué coincidencias hay entre métodos y variables seleccionadas?,¿Qué coincidencias hay entre métodos y variables seleccionadas?,título analítico y ejes explícitos; sin anotaciones si añadirían ruido,"superficie warm light, acento restringido, contexto atenuado, grid suave y spines superiores/derechos retirados",ancho 760-900 px en notebook,PNG 180 dpi con bbox tight,True,True,True,True,True,True,True,True,True,mantener,False,False,"revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina","revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina",appendix,"Surface: warm light; Main accent: método/valor focal; Context: tonos neutros; Grid/spines: suavizados; Text hierarchy: título + ejes; Scientific honesty: métricas, k, semillas, permutaciones y muestra se documentan en tablas trazables."
results/figures/05_feature_selection/method_overlap/customer_churn_method_overlap_jaccard.png,05_08,customer_churn,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,heatmap Jaccard,appendix,False,solape entre métodos,heatmap Jaccard; tabla triangular; red de similitud,red descartada por baja precisión; tabla triangular exige demasiada búsqueda visual,keep,métrica ya calculada en tablas de Fase 5,train-only; no se recalculan selectores con validation/test; muestras y permutaciones documentadas,none,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,¿Qué métodos eligen subconjuntos parecidos en el k de referencia?,título analítico y ejes explícitos; sin anotaciones si añadirían ruido,"superficie warm light, acento restringido, contexto atenuado, grid suave y spines superiores/derechos retirados",ancho 760-900 px en notebook,PNG 180 dpi con bbox tight,True,True,True,True,True,True,True,True,True,mantener,False,False,"revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina","revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina",appendix,"Surface: warm light; Main accent: método/valor focal; Context: tonos neutros; Grid/spines: suavizados; Text hierarchy: título + ejes; Scientific honesty: métricas, k, semillas, permutaciones y muestra se documentan en tablas trazables."
results/figures/05_feature_selection/redundancy_by_dataset/customer_churn_selected_vs_full_redundancy.png,05_12,customer_churn,¿Cada método reduce o concentra redundancia frente al espacio completo?,dot plot paired,appendix,False,comparación paired selected vs full,dot plot paired; barras de delta; tabla,barras de delta pierden el nivel absoluto; tabla exige cálculo mental,keep,métrica ya calculada en tablas de Fase 5,train-only; no se recalculan selectores con validation/test; muestras y permutaciones documentadas,none,¿Cada método reduce o concentra redundancia frente al espacio completo?,¿Cada método reduce o concentra redundancia frente al espacio completo?,título analítico y ejes explícitos; sin anotaciones si añadirían ruido,"superficie warm light, acento restringido, contexto atenuado, grid suave y spines superiores/derechos retirados",ancho 760-900 px en notebook,PNG 180 dpi con bbox tight,True,True,True,True,True,True,True,True,True,mantener,False,False,"revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina","revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina",appendix,"Surface: warm light; Main accent: método/valor focal; Context: tonos neutros; Grid/spines: suavizados; Text hierarchy: título + ejes; Scientific honesty: métricas, k, semillas, permutaciones y muestra se documentan en tablas trazables."
results/figures/05_feature_selection/permutation_detail/customer_churn_permutation_detail.png,05_11,customer_churn,¿Qué variables quedan más separadas del nulo por permutación?,barras horizontales de delta,appendix,False,distancia frente a nulo,barras de delta; scatter real vs nulo; tabla de p-valores,scatter requiere más lectura; tabla no muestra umbral cero de forma inmediata,keep,métrica ya calculada en tablas de Fase 5,train-only; no se recalculan selectores con validation/test; muestras y permutaciones documentadas,none,¿Qué variables quedan más separadas del nulo por permutación?,¿Qué variables quedan más separadas del nulo por permutación?,título analítico y ejes explícitos; sin anotaciones si añadirían ruido,"superficie warm light, acento restringido, contexto atenuado, grid suave y spines superiores/derechos retirados",ancho 760-900 px en notebook,PNG 180 dpi con bbox tight,True,True,True,True,True,True,True,True,True,mantener,False,False,"revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina","revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina",appendix,"Surface: warm light; Main accent: método/valor focal; Context: tonos neutros; Grid/spines: suavizados; Text hierarchy: título + ejes; Scientific honesty: métricas, k, semillas, permutaciones y muestra se documentan en tablas trazables."
results/figures/05_feature_selection/dataset_stories/customer_churn_selection_story.png,05_15,customer_churn,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?",figura compuesta tres paneles,memory_candidate,True,síntesis narrativa por dataset,tres paneles; figuras separadas; scorecard,scorecard ocultaría nombres de variables; figuras separadas dispersan una misma historia,keep,métrica ya calculada en tablas de Fase 5,train-only; no se recalculan selectores con validation/test; muestras y permutaciones documentadas,multipanel,"¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?","¿Cuál es la historia de selección del dataset combinando consenso, estabilidad y redundancia?",título analítico y ejes explícitos; sin anotaciones si añadirían ruido,"superficie warm light, acento restringido, contexto atenuado, grid suave y spines superiores/derechos retirados",ancho 760-900 px en notebook,PNG 180 dpi con bbox tight,True,True,True,True,True,True,True,True,True,mantener,False,False,"revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina","revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina",memory_candidate,"Surface: warm light; Main accent: método/valor focal; Context: tonos neutros; Grid/spines: suavizados; Text hierarchy: título + ejes; Scientific honesty: métricas, k, semillas, permutaciones y muestra se documentan en tablas trazables."
results/figures/05_feature_selection/top_features/madelon_top_selected_features.png,05_15,madelon,¿Qué variables aparecen con más frecuencia entre selectores?,ranking horizontal,memory_candidate,True,ranking de frecuencia de selección,barras horizontales; lollipop; tabla ordenada,tabla sola descartada por baja lectura comparativa; heatmap completo movido a apéndice,keep,métrica ya calculada en tablas de Fase 5,train-only; no se recalculan selectores con validation/test; muestras y permutaciones documentadas,none,¿Qué variables aparecen con más frecuencia entre selectores?,¿Qué variables aparecen con más frecuencia entre selectores?,título analítico y ejes explícitos; sin anotaciones si añadirían ruido,"superficie warm light, acento restringido, contexto atenuado, grid suave y spines superiores/derechos retirados",ancho 760-900 px en notebook,PNG 180 dpi con bbox tight,True,True,True,True,True,True,True,True,True,mantener,False,False,"revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina","revisión manual complementaria en PDF; la comprobación automática valida existencia y tamaño, no percepción humana fina",memory_candidate,"Surface: warm light; Main accent: método/valor focal; Context: tonos neutros; Grid/spines: suavizados; Text hierarchy: título + ejes; Scientific honesty: métricas, k, semillas, permutaciones y muestra se documentan en tablas trazables."
