phase,family,files,size_mb,direct_refs,name_refs,pattern_or_convention,phase_artifacts_unreferenced,no_use_detected,agents_aux,question
01_raw_eda,raw_data_or_eda,25,8.423,25,0,0,0,0,0,"Datos crudos: estructura, señales iniciales y riesgos."
02_preprocessing,processed_data,20,0.195,20,0,0,0,0,0,Preprocesado: transformaciones y datasets procesados.
03_postprocessing_audit,other_tables,17,0.253,17,0,0,0,0,0,"Auditoría postprocesado: leakage, drift, duplicados, coherencia."
03_postprocessing_audit,processed_data,5,0.127,5,0,0,0,0,0,"Auditoría postprocesado: leakage, drift, duplicados, coherencia."
03_postprocessing_audit,raw_data_or_eda,2,0.016,2,0,0,0,0,0,"Auditoría postprocesado: leakage, drift, duplicados, coherencia."
03_postprocessing_audit,splits,1,0.001,1,0,0,0,0,0,"Auditoría postprocesado: leakage, drift, duplicados, coherencia."
04_split_audit,splits,23,12.783,1,22,0,0,0,0,"Splits: índices, balance y reproducibilidad train/validation/test."
05_feature_selection,feature_selection,15,11.942,3,12,0,0,0,0,"Selección clásica: variables, estabilidad, coste y redundancia."
05_feature_selection,granular_rankings,500,12.77,0,0,0,500,0,0,"Selección clásica: variables, estabilidad, coste y redundancia."
05_feature_selection,qfs_quantum,13,10.206,1,2,0,10,0,0,"Selección clásica: variables, estabilidad, coste y redundancia."
05_feature_selection,selected_feature_matrices,1,0.977,0,1,0,0,0,0,"Selección clásica: variables, estabilidad, coste y redundancia."
06_modeling,modeling,288,0.628,6,7,0,275,0,0,"Modelado: métricas, candidatos, intervalos, contrastes e interpretación."
06_modeling,shap,32,8.492,32,0,0,0,0,0,"Modelado: métricas, candidatos, intervalos, contrastes e interpretación."
07_final_comparison,comparisons,3,0.01,1,2,0,0,0,0,Síntesis clásica final y handoff hacia QFS.
07_final_comparison,qfs_quantum,2,0.006,2,0,0,0,0,0,Síntesis clásica final y handoff hacia QFS.
08_quantum,qfs_quantum,84,1.105,11,3,0,70,0,0,"QFS: runs, selección, calidad, oráculos y comparación contra baseline."
10_memoria,other_tables,3,0.007,3,0,0,0,0,0,Memoria: tablas de síntesis para figuras/narrativa.
agents_aux,comparisons,9,0.001,0,0,0,0,0,9,"Assets de skills/agentes, fuera del núcleo TFG."
agents_aux,other_tables,351,3.487,0,0,0,0,0,351,"Assets de skills/agentes, fuera del núcleo TFG."
agents_aux,raw_data_or_eda,6,0.053,0,0,0,0,0,6,"Assets de skills/agentes, fuera del núcleo TFG."
audit_outputs,other_tables,2,1.717,2,0,0,0,0,0,Salidas de esta propia auditoría de tablas.
data_processed,processed_data,4,23.446,4,0,0,0,0,0,Datos procesados listos para análisis.
data_raw,raw_data_or_eda,9,59.031,4,0,5,0,0,0,Fuente original de datos.
data_selected_features,selected_feature_matrices,1260,2374.977,17,252,991,0,0,0,Matrices resultantes de selectores por dataset/k/split.
data_splits,splits,30,29.175,0,0,30,0,0,0,Filas/columnas de cada split reproducible.
legacy_qfs,qfs_quantum,9,0.052,0,3,0,0,6,0,Resultados históricos o auxiliares del QFS heredado.
legacy_qfs_data,qfs_quantum,2,1.604,0,2,0,0,0,0,Datasets heredados del código QFS auxiliar.
logs,feature_selection,7,0.121,0,7,0,0,0,0,Logs tabulares de ejecución/verificación.
logs,shap,2,0.007,2,0,0,0,0,0,Logs tabulares de ejecución/verificación.
logs,splits,2,0.006,0,0,0,0,2,0,Logs tabulares de ejecución/verificación.
predictions,predictions,6,539.382,5,0,1,0,0,0,Predicciones por fila para verificación y fases posteriores.
previous_run_logs,feature_selection,403,30.901,0,66,0,0,337,0,Tablas archivadas de runs anteriores.
previous_run_logs,qfs_quantum,13,12.711,0,3,0,0,10,0,Tablas archivadas de runs anteriores.
previous_run_logs,selected_feature_matrices,3,0.975,0,3,0,0,0,0,Tablas archivadas de runs anteriores.
previous_run_logs,shap,1,0.061,0,1,0,0,0,0,Tablas archivadas de runs anteriores.
